name	key	image	type	effect	amount	stack	price							
회복물약(소)	101	101	1	1	0	1	250							
회복플라스크(중)	102	102	1	2	0	1	725							
회복물약(중)	103	103	1	2	0	1	725							
회복플라스크(대)	104	104	1	3	0	1	1500							
회복물약(대)	105	105	1	3	0	1	1500							
해독플라스크(일반)	106	106	1	4	0	1	250							
해독물약(일반)	107	107	1	4	0	1	250							
해독플라스크(맹독)	108	108	1	5	0	1	725							
해독물약(맹독)	109	109	1	5	0	1	725							
해독플라스크(극독)	110	110	1	6	0	1	1500							
해독물약(극독)	111	111	1	6	0	1	1500							
재생플라스크(소)	112	112	1	7	0	1	725							
재생물약(소)	113	113	1	7	0	1	725							
재생플라스크(중)	114	114	1	8	0	1	1250							
재생물약(중)	115	115	1	8	0	1	1250							
재생플라스크(대)	116	116	1	9	0	1	2500							
재생물약(대)	117	117	1	9	0	1	2500							
가속플라스크	118	118	1	10	0	1	750							
가속물약	119	119	1	10	0	1	750							
치유플라스크	120	120	1	11	0	1	2000							
치유물약	121	121	1	11	0	1	2000							
가호플라스크	122	122	1	12	0	1	3750							
가호물약	123	123	1	12	0	1	3750							
중독플라스크(일반)	124	124	1	13	0	1	725							
중독물약(일반)	125	125	1	13	0	1	725							
중독플라스크(맹독)	126	126	1	14	0	1	1150							
중독물약(맹독)	127	127	1	14	0	1	1150							
중독플라스크(극독)	128	128	1	15	0	1	2625							
중독물약(극독)	129	129	1	15	0	1	2625							
충격플라스크	130	130	1	16	0	1	750							
충격물약	131	131	1	16	0	1	750							
감전플라스크	132	132	1	17	0	1	800							
감전물약	133	133	1	17	0	1	800							
마비플라스크	134	134	1	18	0	1	1250							
마비물약	135	135	1	18	0	1	1250							
발화플라스크	136	136	1	19	0	1	2050							
발화물약	137	137	1	19	0	1	2050							
빙결플라스크	138	138	1	20	0	1	1875							
빙결물약	139	139	1	20	0	1	1875							
폭발플라스크	140	140	1	21	0	1	3000							
폭발물약	141	141	1	21	0	1	3000							
소멸플라스크	142	142	1	22	0	1	3750							
소멸물약	143	143	1	22	0	1	3750							
경화플라스크	144	144	1	23	0	1	2625							
경화물약	145	145	1	23	0	1	2625							
오염된플라스크	146	146	1	24	0	1	125							
오염된물약	147	147	1	24	0	1	125							
부식플라스크	148	148	1	25	0	1	750							
부식물약	149	149	1	25	0	1	750							
둔화플라스크	150	150	1	26	0	1	800							
둔화물약	151	151	1	26	0	1	800							
체력증강플라스크	152	152	1	27	0	1	2625							
체력증강물약	153	153	1	27	0	1	2625							
공허플라스크	154	154	1	28	0	1	2625							
공허물약	155	155	1	28	0	1	2625							
NullData	156	156	1	0	0	1	0							
NullData	157	157	1	0	0	1	0							
NullData	158	158	1	0	0	1	0							
NullData	159	159	1	0	0	1	0							
NullData	160	160	1	0	0	1	0							
NullData	161	161	1	0	0	1	0							
NullData	162	162	1	0	0	1	0							
NullData	163	163	1	0	0	1	0							
NullData	164	164	1	0	0	1	0							
NullData	165	165	1	0	0	1	0							
NullData	166	166	1	0	0	1	0							
NullData	167	167	1	0	0	1	0							
NullData	168	168	1	0	0	1	0							
NullData	169	169	1	0	0	1	0							
NullData	170	170	1	0	0	1	0							
NullData	171	171	1	0	0	1	0							
NullData	172	172	1	0	0	1	0							
NullData	173	173	1	0	0	1	0							
NullData	174	174	1	0	0	1	0							
NullData	175	175	1	0	0	1	0							
NullData	176	176	1	0	0	1	0							
NullData	177	177	1	0	0	1	0							
NullData	178	178	1	0	0	1	0							
NullData	179	179	1	0	0	1	0							
NullData	180	180	1	0	0	1	0							
NullData	181	181	1	0	0	1	0							
NullData	182	182	1	0	0	1	0							
NullData	183	183	1	0	0	1	0							
NullData	184	184	1	0	0	1	0							
NullData	185	185	1	0	0	1	0							
NullData	186	186	1	0	0	1	0							
NullData	187	187	1	0	0	1	0							
NullData	188	188	1	0	0	1	0							
NullData	189	189	1	0	0	1	0							
NullData	190	190	1	0	0	1	0							
NullData	191	191	1	0	0	1	0							
NullData	192	192	1	0	0	1	0							
NullData	193	193	1	0	0	1	0							
NullData	194	194	1	0	0	1	0							
NullData	195	195	1	0	0	1	0							
NullData	196	196	1	0	0	1	0							
NullData	197	197	1	0	0	1	0							
NullData	198	198	1	0	0	1	0							
NullData	199	199	1	0	0	1	0							
NullData	200	200	2	0	0	1	0							
NullData	201	201	2	0	0	1	0							
NullData	202	202	2	0	0	1	0							
NullData	203	203	2	0	0	1	0							
NullData	204	204	2	0	0	1	0							
NullData	205	205	2	0	0	1	0							
NullData	206	206	2	0	0	1	0							
NullData	207	207	2	0	0	1	0							
NullData	208	208	2	0	0	1	0							
NullData	209	209	2	0	0	1	0							
NullData	210	210	2	0	0	1	0							
NullData	211	211	2	0	0	1	0							
NullData	212	212	2	0	0	1	0							
NullData	213	213	2	0	0	1	0							
NullData	214	214	2	0	0	1	0							
NullData	215	215	2	0	0	1	0							
NullData	216	216	2	0	0	1	0							
NullData	217	217	2	0	0	1	0							
NullData	218	218	2	0	0	1	0							
NullData	219	219	2	0	0	1	0							
NullData	220	220	2	0	0	1	0							
NullData	221	221	2	0	0	1	0							
NullData	222	222	2	0	0	1	0							
NullData	223	223	2	0	0	1	0							
NullData	224	224	2	0	0	1	0							
NullData	225	225	2	0	0	1	0							
NullData	226	226	2	0	0	1	0							
NullData	227	227	2	0	0	1	0							
NullData	228	228	2	0	0	1	0							
NullData	229	229	2	0	0	1	0							
NullData	230	230	2	0	0	1	0							
NullData	231	231	2	0	0	1	0							
NullData	232	232	2	0	0	1	0							
NullData	233	233	2	0	0	1	0							
NullData	234	234	2	0	0	1	0							
NullData	235	235	2	0	0	1	0							
NullData	236	236	2	0	0	1	0							
NullData	237	237	2	0	0	1	0							
NullData	238	238	2	0	0	1	0							
NullData	239	239	2	0	0	1	0							
NullData	240	240	2	0	0	1	0							
NullData	241	241	2	0	0	1	0							
NullData	242	242	2	0	0	1	0							
NullData	243	243	2	0	0	1	0							
NullData	244	244	2	0	0	1	0							
NullData	245	245	2	0	0	1	0							
NullData	246	246	2	0	0	1	0							
NullData	247	247	2	0	0	1	0							
NullData	248	248	2	0	0	1	0							
NullData	249	249	2	0	0	1	0							
NullData	250	250	2	0	0	1	0							
NullData	251	251	2	0	0	1	0							
NullData	252	252	2	0	0	1	0							
NullData	253	253	2	0	0	1	0							
NullData	254	254	2	0	0	1	0							
NullData	255	255	2	0	0	1	0							
NullData	256	256	2	0	0	1	0							
NullData	257	257	2	0	0	1	0							
NullData	258	258	2	0	0	1	0							
NullData	259	259	2	0	0	1	0							
NullData	260	260	2	0	0	1	0							
NullData	261	261	2	0	0	1	0							
NullData	262	262	2	0	0	1	0							
NullData	263	263	2	0	0	1	0							
NullData	264	264	2	0	0	1	0							
NullData	265	265	2	0	0	1	0							
NullData	266	266	2	0	0	1	0							
NullData	267	267	2	0	0	1	0							
NullData	268	268	2	0	0	1	0							
NullData	269	269	2	0	0	1	0							
NullData	270	270	2	0	0	1	0							
NullData	271	271	2	0	0	1	0							
NullData	272	272	2	0	0	1	0							
NullData	273	273	2	0	0	1	0							
NullData	274	274	2	0	0	1	0							
NullData	275	275	2	0	0	1	0							
NullData	276	276	2	0	0	1	0							
NullData	277	277	2	0	0	1	0							
NullData	278	278	2	0	0	1	0							
NullData	279	279	2	0	0	1	0							
NullData	280	280	2	0	0	1	0							
NullData	281	281	2	0	0	1	0							
NullData	282	282	2	0	0	1	0							
NullData	283	283	2	0	0	1	0							
NullData	284	284	2	0	0	1	0							
NullData	285	285	2	0	0	1	0							
NullData	286	286	2	0	0	1	0							
NullData	287	287	2	0	0	1	0							
NullData	288	288	2	0	0	1	0							
NullData	289	289	2	0	0	1	0							
NullData	290	290	2	0	0	1	0							
NullData	291	291	2	0	0	1	0							
NullData	292	292	2	0	0	1	0							
NullData	293	293	2	0	0	1	0							
NullData	294	294	2	0	0	1	0							
NullData	295	295	2	0	0	1	0							
NullData	296	296	2	0	0	1	0							
NullData	297	297	2	0	0	1	0							
NullData	298	298	2	0	0	1	0							
NullData	299	299	2	0	0	1	0							
NullData	300	300	2	0	0	1	0							
